word
bison
booby
camel
dingo
eagle
finch
gecko
goose
guppy
heron
horse
hyena
koala
lemur
llama
moose
mouse
otter
panda
quail
raven
rhino
robin
shark
sheep
shrew
skate
skunk
sloth
tapir
tiger
viper
whale
zebra
