bison
bunny
camel
chick
civet
crane
dingo
eagle
finch
gator
gecko
goose
hippo
horse
hyena
koala
lemur
llama
moose
mouse
otter
panda
quail
rhino
robin
shark
sheep
shrew
skunk
sloth
snake
squid
swine
tapir
tiger
whale
zebra
