word
agree
allow
argue
avoid
break
bring
build
carry
catch
clean
climb
count
cover
dance
drink
drive
enjoy
enter
fight
grant
guess
hurry
issue
label
laugh
learn
marry
match
offer
order
paint
plant
point
press
print
raise
reach
refer
relax
reply
serve
share
shine
shout
sleep
smell
smile
speak
spend
split
spoil
stand
stare
start
steal
steer
stick
store
study
sweep
taste
teach
think
throw
touch
track
train
treat
trust
visit
watch
worry
write
